Lattitude,Longitude,SubStation_Name,Capacity
26.7497311,91.906804,Kasubil S/S,10
26.1193001,91.9096,Sonapur S/S,20
26.6636641,91.910164,Tangla S/S,7.5
26.7773261,91.932825,Hatigarh S/S,10
26.4216701,91.9334,Futkitoli S/S,10
26.2369706,91.9538183,Chandrapur S/S,2.5
26.5776067,91.972308,Kalaigaon S/S,10
26.4298401,92.007,Industry SS,10
26.4657301,92.02561,Chapai S/S,15
26.5028001,92.03471,Ramhari S/S,10
26.1572681,92.078908,MALOI BARI SS,5
26.7314701,92.08368,Udalguri S/S,15
26.5229315,92.1541893,Kharupetia S/S,2.5
26.5439101,92.177248,Burigaon S/S,10
26.7228401,92.18955,Rowta S/S,12.5
26.5593931,92.200332,Dalgaon S/S,13.15
26.1225781,92.212121,JAGIROAD SS,15
26.7874201,92.29794,Mazbat S/S,10
25.9419631,92.298889,Umpanai S/S,2.5
26.2376721,92.303589,Bashnaghat SS,10
24.4794031,92.318927,Lowairpoa S/S,8.15
24.6221245,92.3231726,PATHARKANDI SS,10
26.4190851,92.324915,LAHARIGHAT SS,8.15
26.7014501,92.33035,Orang S/S,7.5
26.2540561,92.360075,MORIGAON SS,10
24.8625371,92.361677,KARIMGANJ SS,25
26.6439911,92.365463,Borchola S/S,10
24.7645361,92.372215,NILAM BAZAR SS,5
24.8394541,92.384495,LAMAJUAR SS,5
26.7761151,92.392321,Rakhyasmari S/S,10
26.6991601,92.4005,Mizibari S/S,7.5
24.4812461,92.439937,DULLAV CHERRA SS,10
26.3263391,92.456728,MIKIR BHETA SS,10
24.5640901,92.464783,R. K. Nagar S/S,5.65
26.2069611,92.474835,Jungal Balahu Garh SS,10
26.7043701,92.47757,Dekhiajuli S/S,15.65
26.6335251,92.482264,Singri S/S,10
24.8011481,92.482297,Mahakal SS,10
26.4592631,92.488393,DHING SS,10
26.2745401,92.505474,Baropujia SS,10
25.9573091,92.517491,KLHEP (Amtrang) S/S,5.65
24.3886851,92.555914,Monipur S/S,5
24.6821901,92.557345,HAILAKANDI SS,20
26.4097941,92.559471,BATADRAVA SS,5
24.4849581,92.561339,Lathakandi,7.5
25.8442701,92.57197,Hamren S/S,2.5
24.8715891,92.5731,Badarpur SS,13.15
26.7050901,92.57577,Thelamara S/S,10
24.9746121,92.580918,Kalain Sub-Station,12.5
24.8789351,92.587523,Katigorah Sub-Station,5
24.8728051,92.593762,PANCHGRAM SS,2.5
24.7542701,92.594865,ALGA PUR SS,10
25.9676001,92.5971,BAITHALANGSHU SS,2.5
26.7911001,92.59722,Misamari S/S,7.5
24.5673261,92.604874,Lala,15
26.4323651,92.631097,Juria SS,10
26.7519401,92.63445,Samukia Kachari S/S,5
26.8060061,92.638736,Borjuli S/S,10
26.3161351,92.638972,Bebejia SS,10
26.1646661,92.665759,KAMPUR SS,10
26.3702831,92.677019,Itapara SS,10
26.2991471,92.678528,Deodhar S/S,10
24.9457351,92.681903,Nilcherra Sub-Station,5
26.8300601,92.68527,Rongapara S/S,10
26.3487021,92.695273,Nagaon S/S,35
25.9261001,92.6969,Donkamonkam SS,5
26.6784901,92.71432,Chagaliahat S/S,10
24.8316551,92.731199,Srikona Sub-station,7.5
25.5033201,92.73176,Umrangsho S/S,2.5
26.4115051,92.733278,RUPOHI SS,10
26.1783531,92.7399227,Kathiatoli SS,10
26.7887401,92.74384,Harchura S/S,10
26.7890201,92.74398,Charduar S/S,5
26.1226611,92.748362,JAMUNAMUKH SS,10
26.6701921,92.749795,Depota S/S,20
26.7284901,92.752826,Binduguri S/S,10
24.6916831,92.753056,Dorgakuna Sub-station,7.5
26.7346201,92.77288,Sonabheel S/S,7.5
26.8251301,92.77361,Balipara S/S,8.15
24.8264851,92.77897,IID Centre Sub-Station,2.5
24.8151451,92.782316,Chirukandi Sub-Station,20
26.3642231,92.782652,BARHAMPUR SS,5
24.8252411,92.78478,Malinibeel Sub-station,25
26.6247501,92.79385,Tezpur -I S/S,25
24.7814851,92.794495,Meherpur Sub-Station,27.5
26.6590201,92.79609,Poruwa S/S,15
24.8225011,92.800673,Panpatty Sub-Station,20
26.5065861,92.807122,AMBAGAN SS,10
26.1373241,92.813609,MODARTOLI SS,7.5
